smiles,property
COc1cc(OC)cc(c1)c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C,7.22
CCNC(=O)Nc1nc2nc(NCCCN(CC)CC)ncc2cc1c3c(Cl)cccc3Cl,6.89
COc1ccc(NC(=O)Nc2nc3nc(NCCCN4CCN(C)CC4)ncc3cc2c5c(Cl)cccc5Cl)cc1,7.13
COc1cc(OC)cc(c1)c2cc3cnc(N)cc3nc2NC(=O)Nc4ccccc4,6.29
CCNC(=O)Nc1nc2cc(N)ncc2cc1c3c(Cl)cccc3Cl,6.82
Cn1c(SSc2c(C(=O)Nc3ccccc3)c4ccccc4n2C)c(C(=O)Nc5ccccc5)c6ccccc16,5.35
CCN(CC)CCCNc1ncc2cc(c(NC(=O)NC(C)(C)C)nc2n1)c3c(C)cccc3C,6.47
CCNC(=O)Nc1nc2nc(NCCCCN(CC)CC)ncc2cc1c3c(Cl)cccc3Cl,7.31
CN1CCN(CCCNc2ncc3cc(c(NC(=O)NCCNC(=O)OC(C)(C)C)nc3n2)c4c(Cl)cccc4Cl)CC1,7.17
CCN(CC)C(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1c4c(Cl)cccc4Cl,5.26
CCN(CC)CCNc1ncc2cc(c(NC(=O)NC(C)(C)C)nc2n1)c3c(Cl)cccc3Cl,5.75
CN(C)CCCNc1ncc2cc(c(NC(=O)NC(C)(C)C)nc2n1)c3c(Cl)cccc3Cl,7.12
COc1cc(OC)cc(c1)c2cc3cnc(NC(=O)NC(C)(C)C)cc3nc2NC(=O)NC(C)(C)C,6.8
CC(C)(C)NC(=O)Nc1nc2cc(N)ncc2cc1c3ccccc3,5.72
CCN(CC)CCCNc1ncc2cc(c(N)nc2n1)c3c(Br)cccc3Br,5.08
CN1CCN(CCCNc2ncc3cc(c(NC(=O)N)nc3n2)c4c(Cl)cccc4Cl)CC1,6.85
CN1CCN(CCCNc2ncc3cc(c(NC(=O)Nc4ccc(Cl)cc4)nc3n2)c5c(Cl)cccc5Cl)CC1,6.92
CN1CCN(CCCNc2ncc3cc(c(NC(=O)Nc4cccc5ccccc45)nc3n2)c6c(Cl)cccc6Cl)CC1,6.52
